@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
994,'2023/09/27 21:15:28:559',8,499,277,0.75,0.4,0.36
995,'2023/09/27 21:15:28:654',8,524,286,0.72,0.4,0.36
996,'2023/09/27 21:15:28:732',8,551,287,0.65,0.4,0.36
997,'2023/09/27 21:15:28:824',8,610,293,0.61,0.4,0.36
998,'2023/09/27 21:15:28:919',8,696,308,0.58,0.4,0.36
999,'2023/09/27 21:15:29:016',8,750,310,0.56,0.4,0.36
1000,'2023/09/27 21:15:29:116',8,823,317,0.55,0.4,0.36
1001,'2023/09/27 21:15:29:204',8,878,331,0.52,0.4,0.36
1002,'2023/09/27 21:15:29:293',8,921,338,0.49,0.4,0.36
1003,'2023/09/27 21:15:29:387',8,948,349,0.47,0.4,0.36
1004,'2023/09/27 21:15:29:467',8,966,354,0.42,0.4,0.36
1005,'2023/09/27 21:15:29:552',8,992,369,0.42,0.4,0.36
1006,'2023/09/27 21:15:29:625',8,1006,372,0.42,0.4,0.36
1007,'2023/09/27 21:15:29:745',8,1008,371,0.45,0.4,0.36
1008,'2023/09/27 21:15:29:828',8,997,374,0.54,0.4,0.36
1009,'2023/09/27 21:15:29:923',8,971,372,0.61,0.4,0.36
1010,'2023/09/27 21:15:30:021',8,952,377,0.64,0.4,0.36
1011,'2023/09/27 21:15:30:088',8,941,377,0.64,0.4,0.36
1012,'2023/09/27 21:15:30:183',8,929,381,0.63,0.4,0.36
1013,'2023/09/27 21:15:30:259',8,926,385,0.58,0.4,0.36
1014,'2023/09/27 21:15:30:358',8,920,389,0.52,0.4,0.36
1015,'2023/09/27 21:15:30:456',8,917,390,0.47,0.4,0.36
1016,'2023/09/27 21:15:30:550',8,915,393,0.47,0.4,0.36
1017,'2023/09/27 21:15:30:617',8,915,392,0.47,0.4,0.36
1018,'2023/09/27 21:15:30:684',8,916,393,0.47,0.4,0.36
1019,'2023/09/27 21:15:30:754',8,916,395,0.47,0.4,0.36
1020,'2023/09/27 21:15:30:824',8,913,396,0.47,0.4,0.36
1021,'2023/09/27 21:15:30:933',8,907,395,0.47,0.4,0.36
1022,'2023/09/27 21:15:31:035',8,900,398,0.47,0.4,0.36
1023,'2023/09/27 21:15:31:114',8,894,396,0.47,0.4,0.36
1024,'2023/09/27 21:15:31:192',8,893,397,0.47,0.4,0.36
1025,'2023/09/27 21:15:31:299',8,894,399,0.47,0.32,0.36
1026,'2023/09/27 21:15:31:377',8,894,395,0.47,0.32,0.36
1027,'2023/09/27 21:15:31:452',8,890,392,0.47,0.33,0.36
1028,'2023/09/27 21:15:31:521',8,889,386,0.47,0.33,0.36
1029,'2023/09/27 21:15:31:637',8,892,383,0.47,0.33,0.36
1030,'2023/09/27 21:15:31:727',8,892,381,0.47,0.33,0.36
1031,'2023/09/27 21:15:31:824',8,890,382,0.47,0.32,0.36
1032,'2023/09/27 21:15:31:921',8,888,384,0.47,0.25,0.36
1033,'2023/09/27 21:15:32:021',8,885,386,0.47,0.17,0.36
1034,'2023/09/27 21:15:32:126',8,883,385,0.47,0.14,0.36
1035,'2023/09/27 21:15:32:224',8,887,380,0.47,0.14,0.36
1036,'2023/09/27 21:15:32:323',8,888,376,0.47,0.15,0.36
1037,'2023/09/27 21:15:32:407',8,879,376,0.47,0.19,0.36
1038,'2023/09/27 21:15:32:490',8,871,382,0.47,0.19,0.36
1039,'2023/09/27 21:15:32:582',8,874,387,0.47,0.19,0.36
1040,'2023/09/27 21:15:32:654',8,874,389,0.47,0.19,0.36
1041,'2023/09/27 21:15:32:723',8,873,389,0.47,0.19,0.36
1042,'2023/09/27 21:15:32:830',8,863,385,0.47,0.19,0.36
1043,'2023/09/27 21:15:32:934',8,859,388,0.47,0.19,0.36
1044,'2023/09/27 21:15:33:039',8,858,390,0.47,0.19,0.36
1045,'2023/09/27 21:15:33:114',8,859,396,0.47,0.19,0.36
1046,'2023/09/27 21:15:33:182',8,858,396,0.47,0.19,0.36
1047,'2023/09/27 21:15:33:252',8,859,395,0.47,0.19,0.36
1048,'2023/09/27 21:15:33:320',8,857,395,0.47,0.19,0.36
1049,'2023/09/27 21:15:33:415',8,858,393,0.47,0.19,0.36
1050,'2023/09/27 21:15:33:490',8,859,393,0.47,0.19,0.36
1051,'2023/09/27 21:15:33:593',8,863,392,0.47,0.19,0.36
1052,'2023/09/27 21:15:33:699',8,863,389,0.47,0.19,0.36
1053,'2023/09/27 21:15:33:795',8,860,383,0.47,0.19,0.36
1054,'2023/09/27 21:15:33:897',8,833,381,0.47,0.19,0.36
1055,'2023/09/27 21:15:33:991',8,833,381,0.47,0.19,0.36
1056,'2023/09/27 21:15:34:103',8,833,381,0.47,0.19,0.36
1057,'2023/09/27 21:15:34:199',8,833,381,0.47,0.19,0.36
1058,'2023/09/27 21:15:34:304',8,833,381,0.47,0.19,0.36
1059,'2023/09/27 21:15:34:378',8,833,381,0.47,0.19,0.36
1060,'2023/09/27 21:15:34:443',8,833,381,0.47,0.19,0.36
1061,'2023/09/27 21:15:34:514',8,833,381,0.47,0.19,0.36
1062,'2023/09/27 21:15:34:580',8,833,381,0.47,0.19,0.36
1063,'2023/09/27 21:15:34:633',8,833,381,0.47,0.19,0.36
1064,'2023/09/27 21:15:34:697',8,833,381,0.47,0.19,0.36
1065,'2023/09/27 21:15:34:764',8,833,381,0.47,0.19,0.36
1066,'2023/09/27 21:15:34:830',8,833,381,0.47,0.19,0.36
1067,'2023/09/27 21:15:34:897',8,833,381,0.47,0.19,0.36
1068,'2023/09/27 21:15:34:961',8,833,381,0.47,0.19,0.36
1069,'2023/09/27 21:15:35:047',8,833,381,0.47,0.19,0.36
1070,'2023/09/27 21:15:35:113',8,833,381,0.47,0.19,0.36
1071,'2023/09/27 21:15:35:182',8,833,381,0.47,0.19,0.36
1072,'2023/09/27 21:15:35:257',8,833,381,0.47,0.19,0.36
