@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute mfp-1 numeric
@attribute mfp-2 numeric
@attribute mfp-3 numeric
@attribute mfp-4 numeric
@attribute mfp-5 numeric
@attribute mfp-6 numeric
@attribute mfp-7 numeric
@attribute mfp-8 numeric
@attribute mfp-9 numeric
@attribute mfp-10 numeric
@attribute mfp-11 numeric
@attribute mfp-12 numeric
@attribute mfp-13 numeric
@attribute mfp-14 numeric
@attribute mfp-15 numeric
@attribute mfp-16 numeric
@attribute mfp-17 numeric
@attribute mfp-18 numeric
@attribute mfp-19 numeric
@attribute mfp-20 numeric
@attribute mfp-21 numeric
@attribute mfp-22 numeric
@attribute mfp-23 numeric
@attribute mfp-24 numeric
@attribute mfp-25 numeric
@attribute mfp-26 numeric
@attribute mfp-27 numeric
@attribute mfp-28 numeric
@attribute mfp-29 numeric
@attribute mfp-30 numeric
@attribute mfp-31 numeric
@attribute mfp-32 numeric
@attribute mfp-33 numeric
@attribute mfp-34 numeric
@attribute mfp-35 numeric
@attribute mfp-36 numeric
@attribute mfp-37 numeric
@attribute mfp-38 numeric
@attribute mfp-39 numeric
@attribute mfp-40 numeric
@attribute mfp-41 numeric
@attribute mfp-42 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}

@data
683,'2022/09/18 20:05:53:546',25,975.400452,595.798035,923.451233,552.360718,899.670776,494.65918,900.477783,445.932739,901.225464,403.357452,982.269592,439.179932,991.4552,378.358246,999.507385,340.705078,1010.409851,308.59729,1023.894531,448.888916,1059.290894,390.060791,1082.155029,354.032562,1102.21106,322.894196,1054.011475,469.574646,1091.725342,416.552521,1110.913696,383.065155,1126.962158,352.027924,1077.853516,499.388519,1122.10791,463.511475,1150.765015,440.596619,1175.256226,417.088562,1,?,?
684,'2022/09/18 20:05:53:617',25,976.601318,596.258057,924.099487,552.522461,900.464478,494.016632,902.205261,445.174469,902.872253,403.363373,982.714966,439.15271,991.966614,377.958191,999.695068,340.035522,1009.924866,307.244385,1024.970337,448.536377,1060.637695,390.141083,1082.831665,354.436401,1101.583008,323.535278,1055.497925,469.066986,1093.835449,416.967377,1112.352539,383.578735,1127.179199,352.254761,1079.402344,498.588409,1124.50415,464.317932,1152.587891,441.412048,1176.18335,417.347992,1,?,?
685,'2022/09/18 20:05:53:687',25,975.058228,596.743469,923.511658,552.300354,900.435303,493.57135,901.852722,445.236572,902.013245,403.558899,982.996948,439.750519,991.820984,378.606903,999.689697,340.625793,1010.177002,307.782013,1025.351929,449.056335,1060.715454,389.825958,1083.392822,353.721649,1102.854492,322.21167,1055.899292,469.578278,1093.232666,416.147614,1112.310913,382.622955,1127.756104,351.372375,1079.68335,499.279724,1124.119019,463.409943,1152.53186,440.410187,1176.462646,416.592987,1,?,?
686,'2022/09/18 20:05:53:751',25,975.110168,597.149414,923.735718,551.654663,900.00824,493.263977,901.36261,445.257111,902.910095,404.494812,983.319397,439.948975,991.185852,378.59375,999.126648,340.422699,1009.794861,307.348755,1025.540894,449.182587,1060.485107,389.856323,1083.143677,354.021332,1102.935791,322.838959,1055.811646,469.846405,1093.00708,416.225098,1112.258179,382.222198,1128.111938,350.795288,1079.540039,499.989471,1124.037109,464.433716,1152.257324,440.980438,1176.040527,416.588898,1,?,?
687,'2022/09/18 20:05:53:824',25,973.624023,596.079346,922.971741,551.328979,899.888,492.934326,901.246582,445.333374,902.570129,404.721466,982.564758,438.37204,991.517395,378.009552,999.584351,340.304688,1010.366821,307.178558,1024.828979,447.927063,1061.018799,389.186035,1083.455933,353.660339,1102.576416,322.195801,1054.967773,468.985046,1093.875,416.141632,1113.167969,382.564331,1128.729126,350.998688,1077.780396,499.421692,1122.645874,464.63855,1150.884033,441.354004,1174.702271,417.009247,1,?,?
688,'2022/09/18 20:05:53:883',25,974.721924,596.700684,924.884155,551.938293,901.018982,494.34787,900.68634,446.225677,901.501099,404.508545,982.648865,438.613281,991.8255,378.136627,1000.000305,340.400513,1010.828308,307.472168,1024.92627,447.688629,1061.145874,389.18103,1083.389404,353.107574,1101.868652,321.450775,1055.167969,468.543945,1093.82251,415.948303,1112.814209,382.074615,1127.695557,350.559265,1077.834717,499.186035,1123.412109,464.684784,1151.92334,441.655334,1175.697021,417.64328,1,?,?
689,'2022/09/18 20:05:53:951',25,974.978333,596.843323,923.209778,551.94043,899.936462,493.449341,901.152405,445.77298,901.495605,404.765472,981.559326,438.756256,991.502136,377.94754,999.970642,340.606201,1010.390076,307.792419,1023.850403,448.147522,1060.496948,389.261871,1082.654053,353.354675,1100.918335,321.552887,1054.064209,468.920959,1093.196533,416.410431,1112.009888,382.451019,1126.862305,350.231018,1077.000488,498.972931,1122.841064,465.35025,1151.626831,442.374878,1175.841187,417.91391,1,?,?
690,'2022/09/18 20:05:57:748',26,872.934021,406.93634,815.669189,382.26947,774.427429,340.790192,755.115967,301.91626,744.395752,266.579773,828.62793,256.815063,815.762939,196.498123,809.618652,157.91275,807.677246,123.177544,869.709167,251.045258,880.531128,181.898926,887.581177,137.604156,893.275024,98.330864,905.194458,259.601013,918.892578,195.795258,925.80011,155.649399,930.270081,119.504028,937.313904,278.89093,965.718445,230.528778,984.954712,199.035355,1000.162476,169.110397,1,?,?
691,'2022/09/18 20:05:57:826',26,872.979858,407.940247,816.972046,382.440521,777.781006,339.428314,757.278992,298.870178,741.42572,262.598663,828.722656,257.472168,816.046753,197.039948,810.234985,158.576614,809.197327,124.152039,869.293579,251.26413,880.326477,181.928268,887.365417,137.211945,893.355103,98.644341,904.318359,259.733978,919.465393,195.082214,926.845459,155.003036,931.970459,119.34301,935.907593,279.168182,965.94574,230.941284,985.684265,199.460419,1001.154785,169.679352,1,?,?
692,'2022/09/18 20:05:57:951',26,873.498291,407.039337,815.108582,381.90802,774.758667,338.801514,756.124146,298.842316,743.943726,262.957703,829.328979,257.397522,816.153259,196.694305,810.453125,158.041748,809.19458,123.572769,870.234497,251.376923,881.525269,181.801712,888.319946,137.451141,893.603394,99.208229,905.437317,259.530273,919.663696,195.048111,926.504211,155.059708,930.875305,119.870102,937.236633,278.499908,966.96991,229.791031,986.448914,198.541748,1001.416504,169.270111,1,?,?
